name,bike_lane_count
Arbutus Ridge,112
Downtown,258
Downtown Eastside,99
Dunbar Southlands,203
Fairview,148
Grandview-Woodland,162
Hastings-Sunrise,209
Kensington-Cedar Cottage,247
Kerrisdale,115
Killarney,120
Kitsilano,266
Marpole,178
Mount Pleasant,231
Oakridge,90
Renfrew-Collingwood,208
Riley Park,201
Shaughnessy,89
South Cambie,77
Strathcona,22
Sunset,189
Victoria-Fraserview,153
West End,129
West Point Grey,110
